Command line
python train.py --data_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train.csv --dataset_type classification --num_workers 2 --save_dir ../pipeline/marketdrug/normal_active_intrial_allainvivo_nopretrain_firsttrain_05-10 --epochs 50 --features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_train_rdkit_2d_normalized.npy --separate_test_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test.csv --separate_test_features_path ../datasets/marketdrug/intrial_allainvivo_KNIME_rmnu_11-24_test_rdkit_2d_normalized.npy --no_features_scaling --metric auc --init_lr 1e-3 --max_lr 1e-3 --final_lr 1e-3 --s ../pipeline/marketdrug/test_active_intrial_allainvivo_11-24_nopretrain_firsttrain_05-10_s --mode active --depth 2 --hidden_size 300 --ffn_num_layer 2 --batch_size 500 --smiles_column smiles --target_columns label --fold 0 --round 0
iteration 0
Class sizes
label 0: 65.62%, 1: 34.38%
Building model 0
DMPNN(
  (sigmoid): Sigmoid()
  (encoder): MPNEncoder(
    (dropout_layer): Dropout(p=0.0, inplace=False)
    (act_func): ReLU()
    (W_i): Linear(in_features=147, out_features=300, bias=False)
    (W_h): Linear(in_features=300, out_features=300, bias=False)
    (W_o): Linear(in_features=433, out_features=300, bias=True)
  )
  (ffn): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=500, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 414,901
Moving model to cuda
Epoch 0
Loss = 7.1740e-01, PNorm = 35.1219, GNorm = 1.2712, lr_0 = 1.0000e-03
Loss = 7.1467e-01, PNorm = 35.1231, GNorm = 1.4918, lr_0 = 1.0000e-03
Loss = 7.1181e-01, PNorm = 35.1253, GNorm = 1.2919, lr_0 = 1.0000e-03
Loss = 6.3045e-01, PNorm = 35.1294, GNorm = 0.2700, lr_0 = 1.0000e-03
Loss = 6.4658e-01, PNorm = 35.1341, GNorm = 0.6943, lr_0 = 1.0000e-03
Loss = 6.5617e-01, PNorm = 35.1390, GNorm = 0.8505, lr_0 = 1.0000e-03
Loss = 6.4390e-01, PNorm = 35.1443, GNorm = 0.6016, lr_0 = 1.0000e-03
Loss = 6.0115e-01, PNorm = 35.1503, GNorm = 0.5038, lr_0 = 1.0000e-03
Loss = 6.0453e-01, PNorm = 35.1565, GNorm = 0.1650, lr_0 = 1.0000e-03
Loss = 6.5343e-01, PNorm = 35.1616, GNorm = 0.7640, lr_0 = 1.0000e-03
Loss = 6.4204e-01, PNorm = 35.1661, GNorm = 0.7697, lr_0 = 1.0000e-03
Loss = 6.7425e-01, PNorm = 35.1702, GNorm = 0.8733, lr_0 = 1.0000e-03
Loss = 5.9402e-01, PNorm = 35.1746, GNorm = 0.1476, lr_0 = 1.0000e-03
Loss = 6.1055e-01, PNorm = 35.1792, GNorm = 0.2502, lr_0 = 1.0000e-03
Loss = 6.2054e-01, PNorm = 35.1839, GNorm = 0.7081, lr_0 = 1.0000e-03
Loss = 6.2679e-01, PNorm = 35.1885, GNorm = 0.6699, lr_0 = 1.0000e-03
Loss = 6.1705e-01, PNorm = 35.1932, GNorm = 0.2864, lr_0 = 1.0000e-03
Loss = 6.2056e-01, PNorm = 35.1979, GNorm = 0.1460, lr_0 = 1.0000e-03
